family,case,tail_ratio,passes,mean_estimate,abs_error,empirical_sd,empirical_stderr,mean_runtime_s,total_runtime_s,max_frontier_memory_mb,reference
ising,ising_n20_s12,0.1,6,0.7137861534869882,0.0003226399695877,2.6255325020915836e-05,1.0718691555361978e-05,19.231337482666667,115.388024896,32.975006103515625,0.7141087934565759
ising,ising_n20_s12,0.1,7,0.713782509616151,0.0003262838404248,2.5834014516529157e-05,9.76433968245267e-06,19.04774216542857,133.334195158,32.975006103515625,0.7141087934565759
ising,ising_n20_s12,0.1,8,0.7137833946127663,0.0003253988438096,2.404827912089863e-05,8.502350621127143e-06,19.028317327375,152.226538619,32.975006103515625,0.7141087934565759
ising,ising_n20_s12,0.1,9,0.7137806337051876,0.0003281597513883,2.397150930819202e-05,7.990503102730676e-06,18.972852901666663,170.755676115,32.975006103515625,0.7141087934565759
ising,ising_n20_s12,0.1,10,0.7137778938658753,0.0003308995907006,2.4204386239850183e-05,7.654098988436515e-06,18.9211411706,189.211411706,32.975006103515625,0.7141087934565759
ising,ising_n20_s12,0.2,1,0.7138419137131504,0.0002668797434255,,,20.233893104,20.233893104,35.969146728515625,0.7141087934565759
ising,ising_n20_s12,0.2,2,0.7138362039012418,0.0002725895553341,8.074893439843087e-06,5.709811908671813e-06,18.7060427825,37.412085565,35.98777770996094,0.7141087934565759
ising,ising_n20_s12,0.2,3,0.713832865523647,0.0002759279329289,8.126268942623649e-06,4.691703561531061e-06,19.483173227,58.449519681,35.98777770996094,0.7141087934565759
ising,ising_n20_s12,0.2,4,0.7138331079800166,0.0002756854765593,6.6527667164303936e-06,3.3263833582151968e-06,18.87086247575,75.48344990299998,35.98777770996094,0.7141087934565759
ising,ising_n20_s12,0.2,5,0.7138354876536926,0.0002733058028832,7.842749056353352e-06,3.5073840040956847e-06,18.8351533412,94.175766706,35.98777770996094,0.7141087934565759
ising,ising_n20_s12,0.2,6,0.7138311007921673,0.0002776926644085,1.2832548245002694e-05,5.238865883317396e-06,18.644416833166662,111.866500999,35.98777770996094,0.7141087934565759
ising,ising_n20_s12,0.2,7,0.7138310484650605,0.0002777449915154,1.1715278298006654e-05,4.427958988062522e-06,18.602606826571428,130.218247786,35.98777770996094,0.7141087934565759
ising,ising_n20_s12,0.2,8,0.713825542018655,0.0002832514379209,1.8979160701687088e-05,6.710146616696088e-06,19.013382769625,152.107062157,35.98777770996094,0.7141087934565759
ising,ising_n20_s12,0.2,9,0.7138266957699824,0.0002820976865934,1.808764087587566e-05,6.029213625291887e-06,19.352776184777778,174.174985663,35.98777770996094,0.7141087934565759
ising,ising_n20_s12,0.2,10,0.7138257980527201,0.0002829954038557,1.7287865638801236e-05,5.46690313015737e-06,19.7409969978,197.409969978,35.98777770996094,0.7141087934565759
clifford_t_depol,ct_depol_n20_d12,0.05,1,0.0667833008543583,0.0004615701483055,,,0.0400974419999999,0.0400974419999999,0.911773681640625,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.05,2,0.0659503662881251,0.0003713644179276,0.0011779473601363,0.0008329345662332,0.0385746654999999,0.0771493309999999,0.9137420654296876,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.05,3,0.0662280111435362,9.371956251659484e-05,0.0009617899920641,0.0005552897108221,0.0375748363333333,0.112724509,0.9137420654296876,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.05,4,0.0663668335712417,4.510286518893958e-05,0.0008329345662332,0.0004164672831166,0.0369708205,0.147883282,0.9137420654296876,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.05,5,0.0665733231301183,0.0002515924240655,0.000856460555627,0.0003830208044858,0.0368952342,0.1844761709999999,0.9137420654296876,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.05,6,0.0666996717024641,0.0003779409964113,0.0008261982311036,0.0003372940154323,0.0371023308333333,0.2226139849999999,0.9137420654296876,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.05,7,0.0667116187241633,0.0003898880181105,0.0007548744157306,0.0002853157107297,0.036779299,0.257455093,0.9137420654296876,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.05,8,0.0667090035409069,0.0003872728348541,0.0006989170495868,0.0002471044926248,0.0370402844999999,0.296322276,0.9137420654296876,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.05,9,0.0667604186317188,0.000438687925666,0.000671726146578,0.000223908715526,0.0368302419999999,0.331472178,0.9137420654296876,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.05,10,0.0667627068539828,0.00044097614793,0.0006333508212036,0.0002002831152941,0.0366512586,0.3665125859999999,0.9137420654296876,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.1,1,0.0674240181604389,0.0011022874543861,,,0.041417559,0.041417559,0.9646453857421876,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.1,2,0.0666250169949217,0.0003032862888689,0.0011299582846262,0.0007990011655171,0.0413040479999999,0.0826080959999999,0.971282958984375,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.1,3,0.0663586832730826,3.695256702988814e-05,0.0009226070759883,0.0005326674436781,0.0403795909999999,0.121138773,0.971282958984375,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.1,4,0.0666018660958602,0.0002801353898074,0.00089667204277,0.000448336021385,0.0396682205,0.158672882,0.971282958984375,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.1,5,0.0666651407297928,0.00034341002374,0.0007893250032214,0.0003529968727086,0.0392133038,0.1960665189999999,0.971282958984375,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.1,6,0.0667916203015671,0.0004698895955143,0.0007709796761431,0.0003147511347678,0.0391537918333333,0.2349227509999999,0.971282958984375,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.1,7,0.0668459230239453,0.0005241923178925,0.0007183194858779,0.0002714992459321,0.0391335174285714,0.273934622,0.971282958984375,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.1,8,0.0669350522174026,0.0006133215113498,0.0007112124494558,0.0002514515729372,0.0389820729999999,0.3118565839999999,0.971282958984375,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.1,9,0.0670043749234249,0.0006826442173721,0.0006970265366976,0.0002323421788992,0.0393439997777777,0.354095998,0.971282958984375,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.1,10,0.0670598330882428,0.00073810238219,0.0006801611465048,0.0002150858398906,0.0396406189,0.396406189,0.971282958984375,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.2,1,0.0675589565716037,0.0012372258655509,,,0.048151606,0.048151606,1.044708251953125,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.2,2,0.0663844959448708,6.276523881804108e-05,0.0016609381467988,0.0011744606267329,0.045921317,0.091842634,1.045623779296875,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.2,3,0.0662515609750416,7.016973101113544e-05,0.0011968178150229,0.0006909830876744,0.0448581096666666,0.1345743289999999,1.0494232177734375,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.2,4,0.0666015607732436,0.0002798300671908,0.0012020460431572,0.0006010230215786,0.0440641214999999,0.1762564859999999,1.0494232177734375,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.2,5,0.0664328784241894,0.0001111477181366,0.0011072283828618,0.0004951675861392,0.0433597157999999,0.2167985789999999,1.0494232177734375,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.2,6,0.066438520876072,0.0001167901700192,0.0009904316114862,0.0004043420122106,0.0433081571666666,0.259848943,1.0494232177734375,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.2,7,0.0663510201551195,2.9289449066771667e-05,0.0009333043165887,0.0003527558741767,0.04323072,0.30261504,1.0514373779296875,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.2,8,0.0663934797929936,7.174908694086712e-05,0.0008723776747396,0.000308432084782,0.043413833625,0.347310669,1.0514373779296875,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.2,9,0.0663763366080026,5.460590194981962e-05,0.0008176536281249,0.0002725512093749,0.0432912345555555,0.389621111,1.0514373779296875,0.0663217307060527
clifford_t_depol,ct_depol_n20_d12,0.2,10,0.0663237782096242,2.047503571411813e-06,0.0007886045563241,0.000249378657117,0.0432437744999999,0.4324377449999999,1.0514373779296875,0.0663217307060527
