family,case,tail_ratio,passes,seed,pass_estimate,pass_absolute_error,mean_estimate,mean_absolute_error,empirical_sd,empirical_stderr,pass_runtime_s,mean_runtime_s,total_runtime_s,max_peak_rss_mb,pass_max_importance_multiplier,max_importance_multiplier,pass_max_post_truncation_abs_coefficient,max_post_truncation_abs_coefficient,reference
clifford_t,ct_n20_d12,1.00,57,202707160357,0.3246888039503778,0.0048319587391191798,0.32880672792694821,0.0007140347625487764,0.0046104890887903342,0.00061067419799981269,0.811894536,0.807946226,46.052934903,89.973,358.49838004546888,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,58,202707160358,0.32627434473677042,0.0032464179527265657,0.3287630661478072,0.00075769654168977851,0.0045819488230775694,0.00060163935550411958,0.785424997,0.807557929,46.838359900,89.973,179.09491463417282,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,59,202707160359,0.33347500664887597,0.0039542439593789891,0.32884292954613042,0.00067783314336655742,0.0045835135741396664,0.00059672264068306687,0.805692891,0.807526318,47.644052791,89.973,128.02339524410604,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,60,202707160360,0.3261407303437146,0.00338003234578238,0.32879789289275679,0.0007228697967401887,0.0045578741517558839,0.00058841902279532646,0.814028686,0.807634691,48.458081477,89.973,166.54664421724198,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,61,202707160361,0.3365404691586602,0.0070197064691632227,0.32892482037252568,0.00059594231697129851,0.0046271725199312263,0.00059244873236323015,0.792532419,0.807387113,49.250613896,89.973,1570.6077111760958,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,62,202707160362,0.32348580427491946,0.0060349584145775181,0.32883709430643526,0.00068366838306171962,0.0046407837176896507,0.00058938012152700181,0.778966168,0.806928711,50.029580064,89.973,436.28426862883344,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,63,202707160363,0.32917485125002632,0.00034591143947065861,0.32884245552776215,0.00067830716173483685,0.0046034025868319905,0.00057997421092708887,0.797815225,0.806784052,50.827395289,90.051,860.60743662949926,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,64,202707160364,0.33006313854944597,0.00054237585994898474,0.32886152869997592,0.0006592339895210575,0.004569269918553949,0.00057115873981924362,0.805445356,0.806763135,51.632840645,90.051,215.45584754839041,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,65,202707160365,0.32815522530817903,0.0013655373813179494,0.32885066249394829,0.00067010019554869515,0.0045342783461873402,0.00056240801122294187,0.781284807,0.806371161,52.414125452,90.051,220.43861523403763,2443.2628406778754,1,1,0.32952076268949698
clifford_t,ct_n20_d12,1.00,66,202707160366,0.32570025923703227,0.0038205034524647075,0.32880292911126774,0.00071783357822924332,0.004515944724404415,0.0005558743693071912,0.789056513,0.806108818,53.203181965,90.051,598.21472643697678,2443.2628406778754,1,1,0.32952076268949698
